a,e,i,c
43.06925688,0.00739986,7.98604113,24.43933001740807
61.60241355,0.38789797,20.5101234,9.636323129100449
46.61259702,0.17909431,8.03988361,10.67305213562285
37.90112025,0.05288595,19.38210985,29.19488268936736
47.88634006,0.21665396,15.45315765,11.038640426510554
43.61745973,0.27652572,7.34558075,23.949677352895442
43.48649049,0.18394664,7.41831521,20.96506660983577
314.38495321,0.87872156,6.50488761,19.240043322612003
52.27585608,0.25571269,11.40734824,3.161970036493986
45.30377305,0.17149528,16.89965968,3.931945560847942
43.62322787,0.04518666,6.48572183,26.722665212066477
43.21688962,0.04307442,12.72173928,12.734594470679356
39.35062866,0.219608,9.85156109,3.9819750697364973
50.64718026,0.31535495,24.49681576,38.26867523460208
39.35715278,0.15298854,11.59985245,5.321160262615877
51.66964625,0.21857988,38.6681899,32.58614183878757
91.67242762,0.61641661,29.54838505,11.725999630870906
42.69300251,0.1053799,22.47065647,17.105498650231084
52.87656789,0.38362123,29.92055869,-0.11544299424742353
46.25625591,0.03521344,24.06876363,38.41531564322106
47.2505529,0.19666949,26.37803593,22.71013581731081
40.02598818,0.0733801,14.74266516,9.793563010120753
43.906992,0.15767846,32.37219985,18.74469202267645
54.27258188,0.31422651,45.10771667,13.107659019389104
38.14769191,0.31424863,13.47390791,-13.87349058929393
41.46763452,0.12331376,25.93241126,-4.963630929001849
38.27643583,0.0172275,19.83915925,19.097455850596315
39.42564877,0.18372644,14.54728149,11.795277264260411
39.3831305,0.28043025,10.36548562,14.641297533716113
46.09274992,0.17219342,11.22361358,14.119330607896389
41.48762629,0.12243928,23.55666563,13.814653450820256
43.0333879,0.19563022,11.62480399,26.559180583477847
76.86244758,0.78705767,50.79467424,3.907441891827093
39.4991697,0.16023777,14.93633963,17.553798630082998
55.61083156,0.46641326,20.59916128,13.533132660607858
44.24578781,0.11974088,11.27365629,17.588791656097843
44.24747997,0.13486128,19.63810981,41.241757845980516
47.60616749,0.21814646,8.18047393,21.89784333309465
42.51482077,0.16236499,11.00345077,11.66965436176105
61.5308671,0.37684155,5.46667495,10.796351350228859
47.58319829,0.31662625,15.09149701,36.843571773175896
48.25633538,0.26046574,29.84096847,15.413408082616709
39.46270696,0.23085009,9.36991508,12.193223448587647
39.30045063,0.17136041,9.87381829,28.357787061133216
45.63879749,0.18521404,10.85808357,11.20238032478136
40.64203895,0.09783295,21.61493237,10.906206898911408
39.39655878,0.16327449,14.62691029,39.551768240054905
47.47092425,0.25241755,5.95343722,31.12773960718395
47.62304218,0.1631729,18.58217303,6.885720351146242
42.30944397,0.25765462,11.55437925,26.071452109533546
47.85601846,0.25046256,11.92729502,27.28681233267499
51.93297299,0.28859694,27.37868186,12.342868626286082
42.77972332,0.10091257,10.71376193,18.836873905211775
56.69080339,0.35009291,37.11948572,12.663983655935315
46.4618451,0.2041617,12.5917668,20.5938528237261
43.66361076,0.05757206,6.62956761,24.15521286298617
30.08925257,0.08179032,18.60703582,46.399839671338086
39.30611006,0.20242451,18.84695748,22.472275458572128
40.23833922,0.0672051,22.88282446,8.827280315627046
47.72012753,0.25079805,8.72971835,-3.1140877842825136
46.46731262,0.16790801,9.54268033,22.939478497412125
69.67425077,0.47714486,12.60835944,6.5886069092625785
36.42274855,0.141479,12.00979365,24.95791682063391
39.29704627,0.19627954,6.84335664,6.671879249666642
53.04398268,0.37413954,9.98526806,6.137515649844529
43.42911219,0.01885738,5.29001514,19.12693176658443
88.62053945,0.62477666,19.28946245,33.21474039327625
45.36610505,0.22796326,17.72903215,11.430659697632766
39.27591933,0.18930534,9.16321282,4.83357913713171
42.94409374,0.0895161,5.04184607,38.12291207585671
79.60868516,0.52046323,31.18289609,20.82851768849729
43.14500715,0.09581904,13.7536695,4.773848393505975
42.59121517,0.14325316,23.20189052,10.71924336047485
43.53840556,0.09356235,10.01436797,10.881163948631823
