number,class,Hr,a,e,inc,c,deltac,class2
134,5:2,7.86,55.34,0.43,8.98,12.95,3.4,res
135,5:2,6.17,55.5,0.28,17.85,18.02,1.55,res
136,5:2,6.02,55.67,0.41,5.15,26.6,4.9,res
137,5:2,7.32,55.53,0.41,10.88,6.4,0.6,res
138,5:2,7.69,55.25,0.41,11.08,35.97,0.48,res
139,13:5,6.27,56.99,0.39,19.68,3.73,1.69,res
140,11:4,7.86,59.27,0.41,19.71,13.85,1.82,res
141,11:4,5.6,59.23,0.38,13.73,15.6,0.8,res
142,3:1,8.58,62.16,0.48,20.1,12.99,4.66,res
143,3:1,7.47,62.7,0.34,25.04,13.77,4.8,res
144,3:1,7.15,62.58,0.49,20.06,11.99,3.59,res
145,11:3,7.51,71.27,0.47,15.98,21.27,6.51,res
146,15:4,7.39,72.42,0.5,21.96,14,2.3,res
147,27:4,7.39,107.52,0.67,15.43,20.3,2.5,res
148,9:1,7.13,129.63,0.69,26.47,11.9,1.3,res
149,20:1,6.44,221.58,0.8,22.76,13.22,8.4,res
150,36:1,6.22,327.38,0.85,25.55,11.5,4.25,res
151,cen,6.53,13.85,0.39,6.91,2.62,0.88,cen
152,cen,7.55,20.31,0.57,24.7,52.82,8.23,cen
153,cen,9.42,24.54,0.52,15.65,43.35,2.99,cen
154,cen,9.51,18.06,0.62,17.62,13.61,2.57,cen
155,cen,6.83,15.77,0.17,23.39,14.43,0.91,cen
156,cen,10.42,20.02,0.14,9.37,20.84,10.25,cen
157,cen,8.71,26.16,0.38,12.64,34.99,1.29,cen
158,cen,10.67,12.59,0.41,5.6,24.71,1.08,cen
159,cen,8.83,17.94,0.46,6.78,18.7,2.5,cen
160,cen,7.96,16.5,0.2,20.74,8.93,4.18,cen
161,cen,9.58,10.64,0.2,20.35,10.31,2.43,cen
162,cen,9.24,17.45,0.18,17.43,8.83,0.77,cen
163,cen,10.34,22.03,0.37,22.47,2.61,3.63,cen
164,cen,7.9,25.03,0.39,13.34,37.88,2.16,cen
165,cen,8.96,19.4,0.28,12.77,24.61,1.08,cen
166,cen,6.88,23.06,0.22,15.02,23.4,5.41,cen
167,cen,10.19,12.55,0.31,19.46,36.28,2.23,cen
168,cen,9.5,25.79,0.19,9.35,40.4,6.7,cen
169,cen,8.69,25.43,0.37,7.28,2,3.9,cen
170,cen,9.38,20.72,0.47,19.74,11.03,5.08,cen
171,cen,8.76,20.14,0.26,11.17,13.1,1.56,cen
172,cen,9.91,22.93,0.15,21.45,5.5,1.9,cen
173,cen,7.99,24.51,0.04,12.26,31.3,1.3,cen
174,cen,7.16,28.85,0.52,35.46,8.84,0.78,cen
175,cen,9.27,22.08,0.46,36.3,11,2.1,cen
176,cen,10.15,15.85,0.38,31.61,4.9,3,cen
177,cen,9.2,23.95,0.4,33.13,7.5,0.7,cen
178,cen,8.54,19.91,0.23,28.76,11,3.2,cen
179,cen,8.49,15.92,0.34,21.35,7.35,0.66,cen
180,cen,9.41,14.69,0.31,27.12,29.82,2.34,cen
181,cen,9.05,18.55,0.32,26.7,10,2.1,cen
182,cen,9.44,20.25,0.38,15.41,32.7,2.5,cen
183,cen,8.39,29.23,0.31,15.07,29,5,cen
184,cen,9.56,13.43,0.37,22.53,8.9,2.1,cen
185,cen,10.29,23.19,0.38,21.32,12.5,1.1,cen
186,cen,10.1,21.98,0.48,15.39,9.9,2.3,cen
187,sca,5.34,83.42,0.58,23.98,1.56,3.89,sca
188,sca,7.18,33.27,0.38,14.25,29.03,10.54,sca
189,sca,8.11,122.4,0.69,25.93,12.7,6.3,sca
190,sca,8.07,101.73,0.7,25.5,12.71,2.2,sca
191,sca,8.85,95.78,0.87,5.96,10.51,0.74,sca
192,sca,8.08,36.64,0.23,13.51,8.38,3.08,sca
193,sca,8.11,49.2,0.54,5.95,13.52,2.83,sca
194,sca,9.33,562.1,0.96,20.07,25.98,6.34,sca
195,sca,8.77,34.74,0.56,6.79,12.57,2.56,sca
196,sca,6.2,215.84,0.84,30.8,19.62,3.13,sca
197,sca,6.08,85.33,0.62,12.72,19.43,2.1,sca
198,sca,8.57,61.67,0.45,15.48,7.9,6.3,sca
199,sca,7.9,206.81,0.83,14.19,19.17,1.71,sca
200,sca,7.73,34.42,0.59,7.71,11.1,0.6,sca
201,sca,8.73,30.9,0.57,16.64,14.2,5.5,sca
202,sca,6.55,100.62,0.82,22.3,13.86,0.87,sca
203,sca,7.64,159.63,0.76,15.5,14.38,2.3,sca
204,sca,8.03,41.51,0.48,34.82,12.8,2.6,sca
205,sca,6.38,174.64,0.83,6.17,32.8,2.01,sca
206,sca,6.53,92.28,0.64,16.27,8.1,1.6,sca
207,sca,7.89,799.41,0.97,19.46,25.44,1.04,sca
208,sca,6.44,503.03,0.93,18.59,14.44,3,sca
209,sca,6.96,192.12,0.82,11.98,15.5,2.26,sca
210,sca,8,143.31,0.75,8.58,8.9,1.4,sca
211,sca,10.89,55.82,0.72,22.25,13.7,2.9,sca
212,sca,9.55,49.87,0.78,5.68,35.9,1.2,sca
213,sca,9.32,30.99,0.29,13.75,22.9,0.9,sca
214,sca,8.53,56.47,0.53,13.3,18.3,1.1,sca
215,det,7.23,88.73,0.56,19.71,13.19,6.01,det
216,det,6.96,52.68,0.26,17.2,13.38,6.14,det
217,det,5.82,48.76,0.3,24.82,38.31,1.37,det
218,det,5.96,48.59,0.25,30.88,41.96,3.08,det
219,det,7.2,59.49,0.4,19.7,14.54,2.18,det
220,det,7.33,98.33,0.6,23.36,15.67,3.31,det
221,det,6.09,54.31,0.34,18.42,4.07,3.64,det
222,det,7.33,58.47,0.38,19.88,0.86,6.01,det
223,det,7.71,54.05,0.36,28.69,12.15,3.79,det
224,det,6.48,58.1,0.39,28.53,14.41,1.83,det
225,det,7.22,61.79,0.39,5.79,9.88,2.29,det
226,det,7.25,55.3,0.29,22.46,16.6,2.33,det
227,det,7.2,46.16,0.49,44.89,14.3,0.8,det
228,det,6.42,150.15,0.73,33.54,18.5,1,det
229,det,7.03,56.77,0.37,27.67,15.2,1.9,det
