a,e,i,c,Class
55.75454397,0.43496904,37.69020117,16.940723738973748,b'Detached'
62.18999528,0.38880741,34.1639245,-4.685928037671081,b'Detached'
62.69653905,0.21384961,29.49781065,2.234428730921149,b'Classical'
38.33663865,0.04511639,32.12991731,4.711043399426379,b'Classical'
50.20930421,0.28526889,37.7609822,22.673147780193876,b'Detached'
46.34040445,0.24983233,15.27618767,8.45386591287835,b'Detached'
50.44724703,0.26568711,34.08545187,13.865974585620256,b'Detached'
60.66729419,0.38661657,14.30664752,20.91253712698777,b'Detached'
45.66815192,0.1736623,10.7774898,33.165291712097776,b'Classical'
65.2103434,0.44259658,18.28969351,30.518404621024796,b'Resonant 16:5'
40.32359672,0.10796064,24.16894566,-0.5355163917028343,b'Classical'
103.0570395,0.65326576,26.0412632,3.180921483293083,b'Detached'
54.86621587,0.33820318,22.94566127,13.764180349721777,b'Detached'
42.0826969,0.06320425,12.62777899,11.20452737511552,b'Classical'
48.24697669,0.25058247,31.65010818,2.005832821260269,b'Detached'
61.20353497,0.41656362,25.25587551,19.366689160027683,b'Detached'
56.60722282,0.37547012,11.58362657,13.726287232160974,b'Detached'
43.26179481,0.18270166,33.04988785,25.90351102168853,b'Classical'
44.71959706,0.10660171,43.25502629,19.04495532377491,b'Classical'
41.04316929,0.06050475,28.28485897,18.464774811437966,b'Classical'
43.66521506,0.08222214,5.71758049,23.71174656607304,b'Resonant 7:4'
68.14947942,0.50441345,11.56311021,5.7702231485061715,b'Detached'
36.4632144,0.10247004,6.54936406,11.481901016703212,b'Resonant 4:3'
40.73906914,0.08494173,15.7874485,8.111418005913123,b'Classical'
46.73361214,0.25540668,13.62002437,2.949251910816778,b'Detached'
39.53012187,0.24402106,29.47599045,11.60232871362144,b'Resonant 3:2'
46.783957,0.26129312,27.94917975,8.746056704355718,b'Detached'
44.89786883,0.19109916,31.19624995,6.935477099866592,b'Classical'
41.26207129,0.04063744,12.80657303,2.356415392207171,b'Classical'
45.56662801,0.46133797,10.75972309,2.5977498132811783,b'Scattering'
44.98583555,0.19567819,10.90025362,2.100186781461546,b'Resonant 11:6'
49.30668348,0.28403292,14.87411481,28.98009790458087,b'Detached'
55.3642285,0.45232164,13.03172842,0.7092430466354541,b'Resonant 5:2'
40.58132014,0.10643354,28.88281071,9.541294091237024,b'Classical'
41.07341465,0.06046545,26.4487869,17.216394379849227,b'Classical'
46.29443245,0.1660726,8.47794424,13.440999486985985,b'Resonant 29:16'
43.23987743,0.07924555,11.7459248,20.86231747308796,b'Classical'
40.34937671,0.0409174,20.55769759,2.592954405824583,b'Classical'
38.30999668,0.0816883,33.32174183,13.00935922149414,b'Classical'
44.73970076,0.12458285,9.48017108,10.32325228782879,b'Classical'
44.16726885,0.15021401,21.88537769,36.83700457400265,b'Classical'
34.81406745,0.07144126,5.39865133,9.517745368585121,b'Resonant 5:4'
45.91772464,0.13669545,19.58641392,14.58282903644681,b'Classical'
42.30173163,0.13023629,6.45874244,29.082609569534323,b'Resonant 5:3'
43.66925233,0.24409993,31.27675809,13.57964909323882,b'Resonant 7:4'
75.6225846,0.42452144,39.84609459,14.619070598752021,b'Detached'
39.34288122,0.0263585,37.67452661,7.345778608454384,b'Resonant 3:2'
61.60241355,0.38789797,20.5101234,9.636323129100449,b'Detached'
46.61259702,0.17909431,8.03988361,10.67305213562285,b'Classical'
37.90112025,0.05288595,19.38210985,29.19488268936736,b'Classical'
47.88634006,0.21665396,15.45315765,11.038640426510554,b'Resonant 2:1'
43.61745973,0.27652572,7.34558075,23.949677352895442,b'Resonant 7:4'
43.48649049,0.18394664,7.41831521,20.96506660983577,b'Classical'
314.38495321,0.87872156,6.50488761,19.240043322612003,b'Scattering'
52.27585608,0.25571269,11.40734824,3.161970036493986,b'Detached'
45.30377305,0.17149528,16.89965968,3.931945560847942,b'Classical'
43.62322787,0.04518666,6.48572183,26.722665212066477,b'Classical'
43.21688962,0.04307442,12.72173928,12.734594470679356,b'Classical'
39.35062866,0.219608,9.85156109,3.9819750697364973,b'Resonant 3:2'
50.64718026,0.31535495,24.49681576,38.26867523460208,b'Detached'
39.35715278,0.15298854,11.59985245,5.321160262615877,b'Resonant 3:2'
51.66964625,0.21857988,38.6681899,32.58614183878757,b'Classical'
91.67242762,0.61641661,29.54838505,11.725999630870906,b'Detached'
42.69300251,0.1053799,22.47065647,17.105498650231084,b'Resonant candidate 22:13'
52.87656789,0.38362123,29.92055869,-0.11544299424742353,b'Resonant 7:3'
46.25625591,0.03521344,24.06876363,38.41531564322106,b'Classical'
47.2505529,0.19666949,26.37803593,22.71013581731081,b'Classical'
40.02598818,0.0733801,14.74266516,9.793563010120753,b'Classical'
43.906992,0.15767846,32.37219985,18.74469202267645,b'Classical'
38.14769191,0.31424863,13.47390791,-13.87349058929393,b'Scattering'
41.46763452,0.12331376,25.93241126,-4.963630929001849,b'Classical'
38.27643583,0.0172275,19.83915925,19.097455850596315,b'Classical'
39.42564877,0.18372644,14.54728149,11.795277264260411,b'Classical'
39.3831305,0.28043025,10.36548562,14.641297533716113,b'Resonant 3:2'
46.09274992,0.17219342,11.22361358,14.119330607896389,b'Classical'
41.48762629,0.12243928,23.55666563,13.814653450820256,b'Classical'
43.0333879,0.19563022,11.62480399,26.559180583477847,b'Scattering insecure'
39.4991697,0.16023777,14.93633963,17.553798630082998,b'Resonant 3:2'
55.61083156,0.46641326,20.59916128,13.533132660607858,b'Resonant 5:2'
44.24578781,0.11974088,11.27365629,17.588791656097843,b'Classical'
44.24747997,0.13486128,19.63810981,41.241757845980516,b'Classical'
47.60616749,0.21814646,8.18047393,21.89784333309465,b'Classical'
42.51482077,0.16236499,11.00345077,11.66965436176105,b'Classical'
61.5308671,0.37684155,5.46667495,10.796351350228859,b'Detached'
47.58319829,0.31662625,15.09149701,36.843571773175896,b'Resonant 2:1'
48.25633538,0.26046574,29.84096847,15.413408082616709,b'Detached'
39.46270696,0.23085009,9.36991508,12.193223448587647,b'Resonant 3:2'
39.30045063,0.17136041,9.87381829,28.357787061133216,b'Resonant 3:2'
45.63879749,0.18521404,10.85808357,11.20238032478136,b'Classical'
40.64203895,0.09783295,21.61493237,10.906206898911408,b'Resonant 11:7'
39.39655878,0.16327449,14.62691029,39.551768240054905,b'Resonant 3:2'
47.47092425,0.25241755,5.95343722,31.12773960718395,b'Resonant 2:1'
47.62304218,0.1631729,18.58217303,6.885720351146242,b'Resonant 2:1'
42.30944397,0.25765462,11.55437925,26.071452109533546,b'Resonant 5:3'
47.85601846,0.25046256,11.92729502,27.28681233267499,b'Resonant 2:1'
51.93297299,0.28859694,27.37868186,12.342868626286082,b'Detached'
42.77972332,0.10091257,10.71376193,18.836873905211775,b'Classical'
56.69080339,0.35009291,37.11948572,12.663983655935315,b'Detached'
46.4618451,0.2041617,12.5917668,20.5938528237261,b'Resonant candidate 11:6'
43.66361076,0.05757206,6.62956761,24.15521286298617,b'Resonant candidate 7:4'
30.08925257,0.08179032,18.60703582,46.399839671338086,b'Resonant 1:1'
39.30611006,0.20242451,18.84695748,22.472275458572128,b'Resonant 3:2'
40.23833922,0.0672051,22.88282446,8.827280315627046,b'Classical'
47.72012753,0.25079805,8.72971835,-3.1140877842825136,b'Resonant 2:1'
46.46731262,0.16790801,9.54268033,22.939478497412125,b'Classical'
69.67425077,0.47714486,12.60835944,6.5886069092625785,b'Detached'
36.42274855,0.141479,12.00979365,24.95791682063391,b'Resonant 4:3'
39.29704627,0.19627954,6.84335664,6.671879249666642,b'Resonant 3:2'
53.04398268,0.37413954,9.98526806,6.137515649844529,b'Resonant 7:3'
43.42911219,0.01885738,5.29001514,19.12693176658443,b'Classical'
88.62053945,0.62477666,19.28946245,33.21474039327625,b'Scattering'
45.36610505,0.22796326,17.72903215,11.430659697632766,b'Classical'
39.27591933,0.18930534,9.16321282,4.83357913713171,b'Resonant 3:2'
79.60868516,0.52046323,31.18289609,20.82851768849729,b'Detached'
43.14500715,0.09581904,13.7536695,4.773848393505975,b'Classical'
42.59121517,0.14325316,23.20189052,10.71924336047485,b'Classical'
43.53840556,0.09356235,10.01436797,10.881163948631823,b'Classical'
44.01817562,0.13615258,10.31020506,-0.298674804574497,b'Classical'
42.3253025,0.15766104,5.48190631,35.604242026832075,b'Resonant 5:3'
39.43755746,0.16271817,5.57773991,31.80668139740969,b'Resonant 3:2'
60.99517643,0.39700033,14.18987647,9.841483516806719,b'Detached'
39.64000581,0.16647121,21.46764274,1.8023758226939905,b'Classical'
33.59209262,0.3249385,24.3226364,13.042185491945494,b'Scattering'
44.04135125,0.11458074,19.25627489,12.281882134439797,b'Classical'
42.51733365,0.11218181,5.90954093,21.545733754271282,b'Classical'
39.28205998,0.16056432,14.88473857,4.707337762403863,b'Resonant 3:2'
43.40630714,0.16842398,20.6340534,13.51602505991554,b'Classical'
111.21893508,0.67208156,31.14310927,15.482521448723121,b'Detached'
39.62090877,0.05494944,6.13622894,12.243235520754013,b'Classical'
39.43943877,0.1837924,6.91776811,19.535030934716808,b'Resonant 3:2'
88.7886327,0.5727313,25.21036015,15.743348321267108,b'Detached'
50.36254565,0.27663821,19.58883259,20.543670325361827,b'Resonant 13:6'
69.26712263,0.51857175,36.58026463,16.559085021433344,b'Resonant 7:2'
39.3997822,0.24303951,24.95462014,30.16188819935215,b'Resonant 3:2'
43.48806961,0.0645183,11.13436265,21.863296041817488,b'Classical'
36.08259,0.24569736,36.52341419,8.71509586344788,b'Scattering'
45.36753068,0.19211443,15.8862018,2.9380405378874057,b'Classical'
30.12818348,0.06910293,13.15719981,39.91331951667354,b'Resonant 1:1'
43.33754409,0.06079828,8.54408233,23.239962898618515,b'Classical'
47.30241482,0.2040657,38.80683546,2.7347135853565416,b'Classical'
39.47586222,0.19801405,32.05269659,8.442738065209719,b'Resonant 3:2'
47.9578005,0.19721575,11.69863721,18.019182478935885,b'Resonant 2:1'
43.56170791,0.03226857,12.91674555,29.08287204081236,b'Classical'
42.47647537,0.07843375,12.98946906,-11.161632553547316,b'Classical'
42.76891571,0.11304802,27.34342072,1.8821786270742398,b'Classical'
42.27465257,0.21240606,29.34137043,27.456084510640512,b'Resonant 5:3'
41.57978273,0.1112602,15.04049713,7.202656803008203,b'Classical'
65.13945902,0.45068524,18.0004872,7.299446383469816,b'Detached'
39.43652781,0.25213062,13.33252866,11.308249900347134,b'Resonant 3:2'
47.94105973,0.28436018,22.14473899,13.252486120340793,b'Resonant 2:1'
43.57907166,0.2835865,13.53504942,28.887827301830242,b'Detached'
39.36110546,0.09882975,26.61540484,0.8940078599145767,b'Resonant 3:2'
45.44571571,0.14793426,9.68287805,21.31770416020697,b'Resonant candidate 13:7'
43.78751205,0.15802858,7.01444736,21.46097191654505,b'Resonant 7:4'
41.59469219,0.30377803,13.56999671,13.738276272910635,b'Scattering'
45.63136942,0.09930547,6.67972143,31.267417563351156,b'Classical'
55.5422298,0.43115547,8.59242546,13.263648236075747,b'Resonant 5:2'
39.3963815,0.24074067,7.74615865,14.595506115999008,b'Resonant 3:2'
44.2158778,0.08923712,5.53933256,17.632347711024657,b'Classical'
47.8578135,0.29121775,11.73169456,31.681593186285927,b'Resonant 2:1'
44.0359653,0.15009665,15.78935559,8.290826047792004,b'Classical'
47.71044033,0.26730564,13.43934806,11.718134605814253,b'Resonant 2:1'
